comparison,gse_1,gse_2,tfidf_cosine,shared_cui_count,shared_idf_sum,shared_cuis,title_1,title_2
human_mouse,GSE90874,GSE79685,0.3216826469096546,5,24.540131027878232,"['C0017262', 'C0026691', 'C0185117', 'C1705240', 'C1839259']",Gene expression and 4sUDRB-seq for NF90/NF110 of human scramble and KD HeLa cells.,Loss of CREBBP results in gene expression represssion in mouse lymphoma cells
human_mouse,GSE49110,GSE97891,0.321667769666008,8,37.660664939334055,"['C0017337', 'C0036871', 'C0079429', 'C0680730', 'C1148554', 'C1160149', 'C1417679', 'C1658407']",Transcriptomic analysis of ERR alpha orphan nuclear receptor,Rem2 promotes synapse formation by regulating the expression of genes encoding synaptogenic molecules
human_mouse,GSE104784,GSE40436,0.3216308171193485,48,198.68779123335256,"['C0002778', 'C0002780', 'C0008972', 'C0017260', 'C0018017', 'C0040649', 'C0162801', 'C0332173', 'C0439228', 'C0439505', 'C0441889', 'C0456079', 'C0557651', 'C0597298', 'C0681836', 'C0752248', 'C0753802', 'C0872262', 'C0920317', 'C0936012', 'C0947630', 'C1136156', 'C1294197', 'C1334891', 'C1513400', 'C1519595', 'C1519941', 'C1522240', 'C1524024', 'C1537811', 'C1546459', 'C1547707', 'C1561491', 'C1561538', 'C1561539', 'C1705024', 'C1705923', 'C2603343', 'C2930505', 'C2936624', 'C2979882', 'C3178810', 'C3858554', 'C4086963', 'C4723641', 'C5551416', 'C5551417', 'C5552813']",RNA Sequencing Facilitates Quantitative Analysis of Transcriptomes of human mesenchymal stem cells differentiation from human embryonic stem cells and adult bone marrow mesenchymal stem cells,Next Generation Sequencing Facilitates Quantitative Analysis of Cyp26b1-/-skin and En1cre;Cyp26b1f/- epidermal and dermal Transcriptomes
within_human,GSE107574,GSE51984,0.3216118328940585,7,24.422074834018876,"['C0001675', 'C0086418', 'C0683572', 'C0751606', 'C1706450', 'C4318409', 'C4323874']",The human blood-nerve barrier transcriptome,RNA-Seq analysis of human adult peripheral blood populations
human_mouse,GSE95587,GSE96592,0.3214901353538869,8,50.673031020732125,"['C0020786', 'C0020787', 'C0331820', 'C0600091', 'C1441613', 'C1709701', 'C3274850', 'C5237951']",Heterogeneity in neurodegenerative disease,DLK inhibitor treated Optic nerve crush
within_human,GSE37001,GSE84358,0.321486274497826,3,20.92219325072671,"['C0026691', 'C1705240', 'C1839259']",METTL3 KD in HepG2 cells,RNA-seq of ASXL2 shRNA KD in SKNO-1 cells
within_human,GSE61674,GSE87237,0.3214692386533829,21,86.9598959882755,"['C0002793', 'C0004561', 'C0007589', 'C0007634', 'C0023172', 'C0086418', 'C0205103', 'C0387990', 'C0439879', 'C0524983', 'C0596508', 'C1113687', 'C1159442', 'C1171346', 'C1511938', 'C1550465', 'C2945687', 'C3899739', 'C4318409', 'C4722218', 'C5202835']",In vitro differentiation of human low threshold mechanoreceptive (LTMR) neurons from embryonic stem cells,Human naÃ¯ve pluripotent stem cells exhibit X chromosome dampening and X-inactivation (single cell RNA-Seq)
within_human,GSE57862,GSE61474,0.3214105242936602,28,112.62307699571,"['C0002778', 'C0017262', 'C0017263', 'C0040649', 'C0162327', 'C0162801', 'C0185117', 'C0597198', 'C0871966', 'C0872262', 'C0917793', 'C0920317', 'C0936012', 'C1136156', 'C1160700', 'C1294197', 'C1511790', 'C1513778', 'C1517486', 'C1518965', 'C1519595', 'C1524024', 'C1552566', 'C1709793', 'C1882330', 'C4086963', 'C4330825', 'C5552867']",High-resolution transcriptome analysis with long-read RNA sequencing,Quantitative profiling of long noncoding RNAs with targeted RNA sequencing.
human_mouse,GSE68323,GSE77569,0.3213038464793222,10,43.27404929540563,"['C0039798', 'C0040649', 'C0042444', 'C0087111', 'C0175845', 'C0242743', 'C0348005', 'C1522326', 'C1533734', 'C1705169']","RNA expression in primary huamn muscle cells treated with 1,25(OH)2D3 or vehicle",RNA-sequencing reveals transcriptional up-regulation of Trem2 in response to bexarotene treatment
within_human,GSE100392,GSE83520,0.3212816192919582,6,46.12716544861773,"['C0015491', 'C0030927', 'C0203085', 'C0238463', 'C0278849', 'C0694890']",Altered gene expression by C1orf106 in papillary thyroid cancer cells,Genome-wide expression screening discloses long noncoding RNAs involved in thyroid carcinogenesis
within_human,GSE43726,GSE77179,0.3212771439925833,10,46.9079731542203,"['C0006142', 'C0007600', 'C0022827', 'C0238033', 'C0376571', 'C0598034', 'C0678222', 'C1512140', 'C1512505', 'C5690732']",RNA-sequencing (RNA-seq) in breast cancer cell lines after ectopic manipulation of miR-26a expression,Transcriptional changes in breast cancer cell lines associated with vascular mimicry
human_mouse,GSE56545,GSE85098,0.3212553782623212,7,43.06844256951818,"['C0280604', 'C1825268', 'C1864736', 'C2239176', 'C3273762', 'C3539633', 'C4289845']",mRNA profiling  of Hepatocellular carcinoma (HCC),Expression data from AEG-1fl/fl and AEG-1DHEP mice which have conditional hepatocyte-specific knockout of AEG-1 (Astrocyte elevated gene 1)
within_human,GSE50760,GSE85685,0.3212137036033647,11,59.23797361377783,"['C0009402', 'C0027627', 'C0242656', 'C0449258', 'C1513183', 'C2939419', 'C4050364', 'C4722085', 'C4763871', 'C5401389', 'C5446366']",Gene expression profiling study by RNA-seq in colorectal cancer,RNA profiling of four DLD1 colorectal cancer cell derivatives that recapitulate EMT/MET transitions during metastasis.
within_human,GSE68800,GSE77530,0.3210762522500243,5,29.453323425721088,"['C0017636', 'C0035335', 'C0349543', 'C1621958', 'C3828832']",The RNA-binding protein Musashi1 is a central regulator of adhesion pathways in glioblastoma,Gene expression in human glioblastoma specimens
human_mouse,GSE81198,GSE101806,0.3209634694819812,17,65.95553405474257,"['C0014597', 'C0017262', 'C0185117', 'C0204727', 'C0205409', 'C0220862', 'C0221908', 'C1171362', 'C1515670', 'C1516944', 'C1547129', 'C1548355', 'C2911684', 'C3854321', 'C4699379', 'C5237010', 'C5444885']",Expression data of intestinal epithelial isolates from rectosigmoid tissue in HIV-infected and control patients.,Expression of Piwi protein MIWI2 defines a distinct population of multiciliated cells
human_mouse,GSE74417,GSE87632,0.3209597794270102,3,13.132936420702034,"['C0010453', 'C1706355', 'C2242979']",RNA-seq of normal breast epithelial cells,RNAseq of ground state mouse embryonic stem cells.
human_mouse,GSE71261,GSE92263,0.3209437091971935,9,33.344154445815356,"['C0008972', 'C0018017', 'C0557651', 'C0947630', 'C1546459', 'C1705923', 'C2603343', 'C2930505', 'C2979882']",Next Generation Sequencing Facilitates Quantitative Analysis of PBX3 Regulated Transcriptomes,Mechanisms of Myelocytic Nitric Oxide Synthases Against Hypoxia-Induced Pulmonary Hypertension
within_human,GSE53280,GSE79608,0.3208358274423374,8,34.31786091886369,"['C0009450', 'C0205339', 'C0439663', 'C0752248', 'C0948075', 'C2242472', 'C3178810', 'C3714514']",Transcriptomic profiling of HeLa cells infected with Salmonella Typhimurium,Toxoplasma gondii remodels the cis-regulatory landscape of infected human host cells [RNA-seq]
