ID_human,ID_mouse,mondo_id_human,mondo_id_mouse,score_human,score_mouse,pair_type,depth_human,depth_mouse,lca_depth,tree_distance
GSE74698,GSE99233,MONDO_0008315,MONDO_0008315,3.480303721083865,1.7998489232477948,matched,3,3,3,0
GSE74718,GSE31223,MONDO_0004989,MONDO_0004989,3.692784365841419,1.5241017579263578,matched,2,2,2,0
GSE74718,GSE41286,MONDO_0004989,MONDO_0004989,3.692784365841419,1.055383358525064,matched,2,2,2,0
GSE74718,GSE57804,MONDO_0004989,MONDO_0004989,3.692784365841419,1.5395035340354803,matched,2,2,2,0
GSE74718,GSE72480,MONDO_0004989,MONDO_0004989,3.692784365841419,2.412380440757405,matched,2,2,2,0
GSE74718,GSE72823,MONDO_0004989,MONDO_0004989,3.692784365841419,1.5232153344354988,matched,2,2,2,0
GSE74718,GSE77107,MONDO_0004989,MONDO_0004989,3.692784365841419,1.5455646026401952,matched,2,2,2,0
GSE74718,GSE86301,MONDO_0004989,MONDO_0004989,3.692784365841419,3.942355102552644,matched,2,2,2,0
GSE74734,GSE94082,MONDO_0002367,MONDO_0002367,1.6862495410147782,1.189485138917408,matched,2,2,2,0
GSE74928,GSE100820,MONDO_0018874,MONDO_0018874,3.620826875016486,2.991231406337651,matched,5,5,5,0
GSE74928,GSE105159,MONDO_0018874,MONDO_0018874,3.620826875016486,4.685460422990524,matched,5,5,5,0
GSE74928,GSE48048,MONDO_0018874,MONDO_0018874,3.620826875016486,3.927472384547234,matched,5,5,5,0
GSE74928,GSE49087,MONDO_0018874,MONDO_0018874,3.620826875016486,4.573681714332924,matched,5,5,5,0
GSE74928,GSE49088,MONDO_0018874,MONDO_0018874,3.620826875016486,4.394218452802569,matched,5,5,5,0
GSE74928,GSE57147,MONDO_0018874,MONDO_0018874,3.620826875016486,3.3293446737709025,matched,5,5,5,0
GSE74928,GSE63312,MONDO_0018874,MONDO_0018874,3.620826875016486,4.460140980264469,matched,5,5,5,0
GSE74928,GSE65383,MONDO_0018874,MONDO_0018874,3.620826875016486,3.085891003287954,matched,5,5,5,0
GSE74928,GSE68461,MONDO_0018874,MONDO_0018874,3.620826875016486,4.415234629264566,matched,5,5,5,0
GSE74928,GSE68462,MONDO_0018874,MONDO_0018874,3.620826875016486,2.872725846737414,matched,5,5,5,0
GSE74928,GSE71185,MONDO_0018874,MONDO_0018874,3.620826875016486,3.325328582854062,matched,5,5,5,0
GSE74928,GSE71531,MONDO_0018874,MONDO_0018874,3.620826875016486,3.81124235629158,matched,5,5,5,0
GSE74928,GSE72737,MONDO_0018874,MONDO_0018874,3.620826875016486,4.228415228932517,matched,5,5,5,0
GSE74928,GSE74018,MONDO_0018874,MONDO_0018874,3.620826875016486,3.7791955624791607,matched,5,5,5,0
GSE74928,GSE77846,MONDO_0018874,MONDO_0018874,3.620826875016486,4.416917385996621,matched,5,5,5,0
GSE74928,GSE77847,MONDO_0018874,MONDO_0018874,3.620826875016486,4.414218732471825,matched,5,5,5,0
GSE74928,GSE77967,MONDO_0018874,MONDO_0018874,3.620826875016486,1.980944618941855,matched,5,5,5,0
GSE74928,GSE78691,MONDO_0018874,MONDO_0018874,3.620826875016486,3.436333055630881,matched,5,5,5,0
GSE74928,GSE79068,MONDO_0018874,MONDO_0018874,3.620826875016486,4.053585190130817,matched,5,5,5,0
GSE74928,GSE80745,MONDO_0018874,MONDO_0018874,3.620826875016486,4.354018358994531,matched,5,5,5,0
GSE74928,GSE81329,MONDO_0018874,MONDO_0018874,3.620826875016486,4.3282380718451625,matched,5,5,5,0
GSE74928,GSE81420,MONDO_0018874,MONDO_0018874,3.620826875016486,4.672255011508943,matched,5,5,5,0
GSE74928,GSE81421,MONDO_0018874,MONDO_0018874,3.620826875016486,4.555775039759062,matched,5,5,5,0
GSE74928,GSE85193,MONDO_0018874,MONDO_0018874,3.620826875016486,4.16837069433296,matched,5,5,5,0
GSE74928,GSE87870,MONDO_0018874,MONDO_0018874,3.620826875016486,4.9152276967838535,matched,5,5,5,0
GSE74928,GSE88905,MONDO_0018874,MONDO_0018874,3.620826875016486,3.5580997999231685,matched,5,5,5,0
GSE74928,GSE90136,MONDO_0018874,MONDO_0018874,3.620826875016486,3.926579939355463,matched,5,5,5,0
GSE74928,GSE94840,MONDO_0018874,MONDO_0018874,3.620826875016486,3.5503852489935657,matched,5,5,5,0
GSE74928,GSE96061,MONDO_0018874,MONDO_0018874,3.620826875016486,2.8893112689031697,matched,5,5,5,0
GSE74928,GSE97078,MONDO_0018874,MONDO_0018874,3.620826875016486,2.552996681043492,matched,5,5,5,0
GSE74928,GSE97389,MONDO_0018874,MONDO_0018874,3.620826875016486,3.826421464669248,matched,5,5,5,0
GSE74928,GSE97450,MONDO_0018874,MONDO_0018874,3.620826875016486,3.769088585457327,matched,5,5,5,0
GSE74941,GSE31223,MONDO_0004989,MONDO_0004989,2.786136173546979,1.5241017579263578,matched,2,2,2,0
GSE74941,GSE41286,MONDO_0004989,MONDO_0004989,2.786136173546979,1.055383358525064,matched,2,2,2,0
GSE74941,GSE57804,MONDO_0004989,MONDO_0004989,2.786136173546979,1.5395035340354803,matched,2,2,2,0
GSE74941,GSE72480,MONDO_0004989,MONDO_0004989,2.786136173546979,2.412380440757405,matched,2,2,2,0
GSE74941,GSE72823,MONDO_0004989,MONDO_0004989,2.786136173546979,1.5232153344354988,matched,2,2,2,0
GSE74941,GSE77107,MONDO_0004989,MONDO_0004989,2.786136173546979,1.5455646026401952,matched,2,2,2,0
GSE74941,GSE86301,MONDO_0004989,MONDO_0004989,2.786136173546979,3.942355102552644,matched,2,2,2,0
GSE74981,GSE31223,MONDO_0004989,MONDO_0004989,3.394909517551924,1.5241017579263578,matched,2,2,2,0
GSE74981,GSE41286,MONDO_0004989,MONDO_0004989,3.394909517551924,1.055383358525064,matched,2,2,2,0
GSE74981,GSE57804,MONDO_0004989,MONDO_0004989,3.394909517551924,1.5395035340354803,matched,2,2,2,0
GSE74981,GSE72480,MONDO_0004989,MONDO_0004989,3.394909517551924,2.412380440757405,matched,2,2,2,0
GSE74981,GSE72823,MONDO_0004989,MONDO_0004989,3.394909517551924,1.5232153344354988,matched,2,2,2,0
GSE74981,GSE77107,MONDO_0004989,MONDO_0004989,3.394909517551924,1.5455646026401952,matched,2,2,2,0
GSE74981,GSE86301,MONDO_0004989,MONDO_0004989,3.394909517551924,3.942355102552644,matched,2,2,2,0
GSE75059,GSE38539,MONDO_0002108,MONDO_0002108,3.2453562307690333,2.80346972569896,matched,2,2,2,0
GSE75059,GSE54113,MONDO_0002108,MONDO_0002108,3.2453562307690333,1.2030454559135486,matched,2,2,2,0
GSE75059,GSE85648,MONDO_0002108,MONDO_0002108,3.2453562307690333,2.447948055629205,matched,2,2,2,0
GSE75059,GSE95016,MONDO_0002108,MONDO_0002108,3.2453562307690333,1.638849092460794,matched,2,2,2,0
GSE75059,GSE98690,MONDO_0002108,MONDO_0002108,3.2453562307690333,2.010586524670061,matched,2,2,2,0
GSE75130,GSE31223,MONDO_0004989,MONDO_0004989,4.487780855560702,1.5241017579263578,matched,2,2,2,0
GSE75130,GSE41286,MONDO_0004989,MONDO_0004989,4.487780855560702,1.055383358525064,matched,2,2,2,0
GSE75130,GSE57804,MONDO_0004989,MONDO_0004989,4.487780855560702,1.5395035340354803,matched,2,2,2,0
GSE75130,GSE72480,MONDO_0004989,MONDO_0004989,4.487780855560702,2.412380440757405,matched,2,2,2,0
GSE75130,GSE72823,MONDO_0004989,MONDO_0004989,4.487780855560702,1.5232153344354988,matched,2,2,2,0
GSE75130,GSE77107,MONDO_0004989,MONDO_0004989,4.487780855560702,1.5455646026401952,matched,2,2,2,0
GSE75130,GSE86301,MONDO_0004989,MONDO_0004989,4.487780855560702,3.942355102552644,matched,2,2,2,0
GSE75147,GSE79889,MONDO_0018177,MONDO_0018177,3.772357296587188,2.091821608152164,matched,4,4,4,0
GSE75147,GSE90459,MONDO_0018177,MONDO_0018177,3.772357296587188,4.834907786175387,matched,4,4,4,0
GSE75168,GSE31223,MONDO_0004989,MONDO_0004989,3.621778770915941,1.5241017579263578,matched,2,2,2,0
GSE75168,GSE41286,MONDO_0004989,MONDO_0004989,3.621778770915941,1.055383358525064,matched,2,2,2,0
GSE75168,GSE57804,MONDO_0004989,MONDO_0004989,3.621778770915941,1.5395035340354803,matched,2,2,2,0
GSE75168,GSE72480,MONDO_0004989,MONDO_0004989,3.621778770915941,2.412380440757405,matched,2,2,2,0
GSE75168,GSE72823,MONDO_0004989,MONDO_0004989,3.621778770915941,1.5232153344354988,matched,2,2,2,0
GSE75168,GSE77107,MONDO_0004989,MONDO_0004989,3.621778770915941,1.5455646026401952,matched,2,2,2,0
GSE75168,GSE86301,MONDO_0004989,MONDO_0004989,3.621778770915941,3.942355102552644,matched,2,2,2,0
GSE75215,GSE100820,MONDO_0018874,MONDO_0018874,2.772740729911296,2.991231406337651,matched,5,5,5,0
GSE75215,GSE105159,MONDO_0018874,MONDO_0018874,2.772740729911296,4.685460422990524,matched,5,5,5,0
GSE75215,GSE48048,MONDO_0018874,MONDO_0018874,2.772740729911296,3.927472384547234,matched,5,5,5,0
GSE75215,GSE49087,MONDO_0018874,MONDO_0018874,2.772740729911296,4.573681714332924,matched,5,5,5,0
GSE75215,GSE49088,MONDO_0018874,MONDO_0018874,2.772740729911296,4.394218452802569,matched,5,5,5,0
GSE75215,GSE57147,MONDO_0018874,MONDO_0018874,2.772740729911296,3.3293446737709025,matched,5,5,5,0
GSE75215,GSE63312,MONDO_0018874,MONDO_0018874,2.772740729911296,4.460140980264469,matched,5,5,5,0
GSE75215,GSE65383,MONDO_0018874,MONDO_0018874,2.772740729911296,3.085891003287954,matched,5,5,5,0
GSE75215,GSE68461,MONDO_0018874,MONDO_0018874,2.772740729911296,4.415234629264566,matched,5,5,5,0
GSE75215,GSE68462,MONDO_0018874,MONDO_0018874,2.772740729911296,2.872725846737414,matched,5,5,5,0
GSE75215,GSE71185,MONDO_0018874,MONDO_0018874,2.772740729911296,3.325328582854062,matched,5,5,5,0
GSE75215,GSE71531,MONDO_0018874,MONDO_0018874,2.772740729911296,3.81124235629158,matched,5,5,5,0
GSE75215,GSE72737,MONDO_0018874,MONDO_0018874,2.772740729911296,4.228415228932517,matched,5,5,5,0
