ID,child,parent,parent_hit
GSE60853,MONDO_0001056,MONDO_0002516,False
GSE77195,MONDO_0001056,MONDO_0002516,False
GSE89823,MONDO_0001187,MONDO_0006295,True
GSE68220,MONDO_0001187,MONDO_0006295,True
GSE85491,MONDO_0001187,MONDO_0006295,True
GSE92589,MONDO_0001187,MONDO_0006295,True
GSE74138,MONDO_0001187,MONDO_0006295,False
GSE68472,MONDO_0001416,MONDO_0002149,True
GSE84078,MONDO_0001416,MONDO_0002149,True
GSE67207,MONDO_0001416,MONDO_0002149,True
GSE88764,MONDO_0001502,MONDO_0005941,True
GSE88764,MONDO_0001502,MONDO_0004993,False
GSE99058,MONDO_0001657,MONDO_0002714,False
GSE90459,MONDO_0001657,MONDO_0002714,True
GSE85731,MONDO_0002032,MONDO_0024331,True
GSE85731,MONDO_0002032,MONDO_0021063,True
GSE90153,MONDO_0002032,MONDO_0024331,True
GSE90153,MONDO_0002032,MONDO_0021063,True
GSE78696,MONDO_0002032,MONDO_0024331,True
GSE78696,MONDO_0002032,MONDO_0021063,True
GSE98496,MONDO_0002032,MONDO_0024331,True
GSE98496,MONDO_0002032,MONDO_0021063,True
GSE60837,MONDO_0002032,MONDO_0024331,True
GSE60837,MONDO_0002032,MONDO_0021063,True
GSE106330,MONDO_0002032,MONDO_0024331,True
GSE106330,MONDO_0002032,MONDO_0021063,True
GSE53190,MONDO_0002032,MONDO_0024331,True
GSE53190,MONDO_0002032,MONDO_0021063,True
GSE72560,MONDO_0002032,MONDO_0024331,True
GSE72560,MONDO_0002032,MONDO_0021063,True
GSE81066,MONDO_0002032,MONDO_0024331,True
GSE81066,MONDO_0002032,MONDO_0021063,True
GSE64867,MONDO_0002038,MONDO_0005627,True
GSE64867,MONDO_0002038,MONDO_0004993,True
GSE54246,MONDO_0002038,MONDO_0005627,True
GSE54246,MONDO_0002038,MONDO_0004993,True
GSE62125,MONDO_0002038,MONDO_0005627,True
GSE62125,MONDO_0002038,MONDO_0004993,False
GSE89264,MONDO_0002038,MONDO_0005627,True
GSE89264,MONDO_0002038,MONDO_0004993,False
GSE88764,MONDO_0002095,MONDO_0002100,True
GSE88764,MONDO_0002100,MONDO_0004992,False
GSE38539,MONDO_0002108,MONDO_0021069,True
GSE85648,MONDO_0002108,MONDO_0021069,True
GSE98690,MONDO_0002108,MONDO_0021069,False
GSE85793,MONDO_0002108,MONDO_0021069,True
GSE68949,MONDO_0002108,MONDO_0021069,False
GSE95016,MONDO_0002108,MONDO_0021069,False
GSE54113,MONDO_0002108,MONDO_0021069,False
GSE74490,MONDO_0002116,MONDO_0009831,True
GSE87388,MONDO_0002116,MONDO_0009831,True
GSE78510,MONDO_0002116,MONDO_0009831,True
GSE93313,MONDO_0002116,MONDO_0009831,True
GSE93279,MONDO_0002116,MONDO_0009831,True
GSE76498,MONDO_0002116,MONDO_0009831,True
GSE77083,MONDO_0002116,MONDO_0009831,True
GSE84759,MONDO_0002116,MONDO_0009831,True
GSE84592,MONDO_0002116,MONDO_0009831,True
GSE86261,MONDO_0002116,MONDO_0009831,True
GSE94566,MONDO_0002116,MONDO_0009831,True
GSE87606,MONDO_0002116,MONDO_0009831,True
GSE108811,MONDO_0002116,MONDO_0009831,True
GSE63526,MONDO_0002116,MONDO_0009831,True
GSE40171,MONDO_0002116,MONDO_0009831,True
GSE63348,MONDO_0002116,MONDO_0009831,True
GSE98860,MONDO_0002116,MONDO_0009831,True
GSE51372,MONDO_0002116,MONDO_0009831,True
GSE65315,MONDO_0002116,MONDO_0009831,True
GSE95478,MONDO_0002116,MONDO_0009831,True
GSE89636,MONDO_0002116,MONDO_0009831,True
GSE100981,MONDO_0002116,MONDO_0009831,True
GSE74429,MONDO_0002116,MONDO_0009831,True
GSE56507,MONDO_0002116,MONDO_0009831,True
GSE86568,MONDO_0002116,MONDO_0009831,True
GSE106901,MONDO_0002116,MONDO_0009831,True
GSE90116,MONDO_0002116,MONDO_0009831,True
GSE86288,MONDO_0002116,MONDO_0009831,True
GSE96729,MONDO_0002116,MONDO_0009831,True
GSE93946,MONDO_0002116,MONDO_0009831,True
GSE86909,MONDO_0002116,MONDO_0009831,True
GSE90625,MONDO_0002116,MONDO_0009831,True
GSE99774,MONDO_0002116,MONDO_0009831,True
GSE77896,MONDO_0002116,MONDO_0009831,True
GSE72546,MONDO_0002116,MONDO_0009831,True
GSE106550,MONDO_0002116,MONDO_0009831,True
GSE66817,MONDO_0002116,MONDO_0009831,True
GSE65929,MONDO_0002116,MONDO_0009831,True
GSE70542,MONDO_0002116,MONDO_0009831,True
GSE96707,MONDO_0002116,MONDO_0009831,True
GSE72990,MONDO_0002116,MONDO_0009831,True
GSE76992,MONDO_0002116,MONDO_0009831,True
GSE70699,MONDO_0002116,MONDO_0009831,True
