ID,mondo_id,prob,log2(prob/prior),related_words,top1_score,top2_score,top_gap,species
GSE87290,MONDO_0005550,0.141670797080256,0.9722705437438024,"acute,blood,chronic,endotoxemia,endotoxin,humans,immune,immunity,individuals,inflammatory,innate,lps,pbmc,peripheral,response,responses,transcriptional",0.9722705437438024,0.765884800841074,0.20638574290272838,human
GSE87307,MONDO_0002108,0.0687497881025722,3.3963750015006964,"cancers,papillary,thyroid",3.3963750015006964,3.393809638775052,0.002565362725644338,human
GSE87320,MONDO_0017343,0.0084939846153218,0.2395982836764491,"cell,cells,lymphoma",0.2395982836764491,0.2255348932749461,0.014063390401502979,human
GSE87326,MONDO_0021143,0.2691303576883288,2.805288749241287,"braf,cell,drug,withdrawalinduced,erk,inhibitors,mapki,melanoma,raf,response,treatment",2.805288749241287,2.773434257484874,0.03185449175641297,human
GSE87328,MONDO_0005618,0.0029517428439456,0.1134521426462688,stress,0.1134521426462688,0.0442524083984697,0.0691997342477991,human
GSE87340,MONDO_0005275,0.2274672765220774,2.122022665546931,"adenocarcinoma,adenocarcinomas,cancer,deregulation,egfr,genes,kras,lung,methods,pathway,tumor",2.122022665546931,2.065877049333079,0.05614561621385228,human
GSE87360,MONDO_0021167,0.0037006713475635,0.1167595869725279,muscle,0.1167595869725279,0.1162930798397849,0.00046650713274300204,human
GSE87365,MONDO_0020120,0.0586112031448895,2.3246764092549133,"adult,dmd,duchenne,dystrophy,muscle,muscular,skeletal,stem",2.3246764092549133,2.2744225554859026,0.0502538537690107,human
GSE87392,MONDO_0005154,0.0564641213910435,0.4590216252226402,"cells,liver,livers",0.4590216252226402,0.4515056027163128,0.00751602250632738,human
GSE87399,MONDO_0017207,0.0032903092744937,0.2676459430226253,il2,0.2676459430226253,0.2475834316304113,0.02006251139221399,human
GSE87400,MONDO_0005575,0.4519438735567324,3.428440211087632,"cancer,colon,colorectal",3.428440211087632,3.4127883058654525,0.01565190522217952,human
GSE87426,MONDO_0005137,0.0252927412006286,1.155788450245465,"acid,adipose,dietary,effects,fatty,tissue",1.155788450245465,1.013169638885911,0.1426188113595539,human
GSE87456,MONDO_0010150,0.0142392612647978,1.1989249138409357,"head,neck",1.1989249138409357,1.0679840743953442,0.13094083944559154,human
GSE87476,MONDO_0100309,0.0034184533914016,0.0023163249215528,genome,0.0023163249215528,0.0023143148289907,2.010092562100118e-06,human
GSE87487,MONDO_0002515,0.0751945158757842,0.8466304798407297,"illumina,liver,livers",0.8466304798407297,0.6990787545192932,0.14755172532143646,human
GSE87495,MONDO_0700223,0.0604769013817353,2.760873477111705,"dux4,dystrophy,facioscapulohumeral,fshd,muscle,muscular,myoblasts,rna,skeletal",2.760873477111705,2.6950399358862973,0.06583354122540763,human
GSE87497,MONDO_0015547,0.0087800225944937,0.1546534160019658,"hmsc,stem",0.1546534160019658,0.0474947509388208,0.107158665063145,human
GSE87515,MONDO_0100342,0.0551436393046687,0.4063544534850531,"brain,cells,glioblastoma,gsc,promotes,stemlike,target,tumor",0.4063544534850531,0.4045539035264225,0.001800549958630604,human
GSE87517,MONDO_0004989,0.3746015112346103,3.721667601105495,"breast,cancer,carcinomas,dcis,ductal,her2,idc,invasive,negative,response,situ,triple,tumor,tumors",3.721667601105495,3.6608537763329534,0.060813824772541825,human
GSE87532,MONDO_0021259,0.4203119376484988,4.216510765124036,"cancer,cell,cells,gleason,mrna,prostate,tumor",4.216510765124036,4.216387964360337,0.00012280076369908244,human
GSE87534,MONDO_0018905,0.0112516228195762,0.5736487254845111,ezh2,0.5736487254845111,0.2929972088135544,0.28065151667095667,human
GSE87535,MONDO_0016680,0.7920871649495506,4.841342299602204,"brain,cells,gbm,glioblastoma,glioma,lines,multiforme,tumor,tumors",4.841342299602204,4.841321694367669,2.0605234535508998e-05,human
GSE87540,MONDO_0019755,0.0394483557180901,0.803087405156042,"cockayne,csb,mutations,rare,syndrome,uv",0.803087405156042,0.6895072544579981,0.11358015069804395,human
GSE87541,MONDO_0019054,0.0031368428575327,0.6172196284048106,fa,0.6172196284048106,0.6119998123584937,0.0052198160463169385,human
GSE87554,MONDO_0005385,0.0423671802717563,0.5265537654659962,"atherosclerosis,endothelial,human,profiling,study",0.5265537654659962,0.4968024409142288,0.029751324551767377,human
GSE87563,MONDO_0005159,0.0127250059329773,0.7312135421022911,"cancer,prostate,sequencing",0.7312135421022911,0.6619040772469003,0.0693094648553908,human
GSE87581,MONDO_0002654,0.171253291945562,3.562728082681577,"endometrial,profile,uterine",3.562728082681577,3.513855078841632,0.048873003839945195,human
GSE87585,MONDO_0004959,0.0956559571118471,2.865418746929135,"cells,multiple,myeloma",2.865418746929135,2.8647573579713588,0.0006613889577762322,human
GSE87615,MONDO_0016680,0.1375208135245743,2.315333084128385,"ascl1,cultures,data,gbm,gsc,inhibitor,stem",2.315333084128385,2.315332857157747,2.2697063783994054e-07,human
GSE87617,MONDO_0018177,0.127927025792166,2.211004179068527,"ascl1,cultures,data,gbm,gsc,stem",2.211004179068527,2.2109316358744366,7.25431940904464e-05,human
GSE87626,MONDO_0005148,0.007445953107831,0.1925197368194116,"diabetes,resistance",0.1925197368194116,0.1306759425972452,0.061843794222166404,human
GSE87641,MONDO_0021143,0.1001368082227547,1.3789559908074285,"cells,drug,inhibitors,melanocyte,melanoma,melanomas,raf,resistance,response,treatment",1.3789559908074285,1.3515566777532808,0.027399313054147667,human
GSE87660,MONDO_0011996,0.0171379653591601,0.0685987600308146,"rna,rnaseq",0.0685987600308146,0.0008938698145071,0.06770489021630749,human
GSE87668,MONDO_0024331,0.0336799943938793,0.7422417282303522,"cells,p53",0.7422417282303522,0.4449366577557895,0.29730507047456267,human
GSE87679,MONDO_0016147,0.0021789987793983,0.0915717585950925,myoblasts,0.0915717585950925,0.0786112724704457,0.0129604861246468,human
GSE87692,MONDO_0000931,0.0143587703986941,0.9294085699719166,"largenumber,endometrial,human,stromal,uterine",0.9294085699719166,0.9246457383037932,0.004762831668123413,human
GSE87701,MONDO_0021100,0.6100094699338414,3.14226383967552,"breast,cancer,cells,mcf7",3.14226383967552,3.1421540412815854,0.00010979839393465696,human
GSE87708,MONDO_0024664,0.0062815570542893,0.8800947843020162,"placenta,placental,pregnancies",0.8800947843020162,0.8799773297744861,0.000117454527530092,human
GSE87720,MONDO_0024664,0.0044182823783308,0.3724581959678375,"placenta,pregnancies",0.3724581959678375,0.3724465949156655,1.160105217201668e-05,human
GSE87725,MONDO_0024575,0.0045370350973914,0.4107223898272026,"fetal,maternal,placenta",0.4107223898272026,0.4104722971748833,0.00025009265231928923,human
GSE87748,MONDO_0005336,0.0450424923385688,1.944786614954241,"muscle,myotubes,skeletal",1.944786614954241,1.8688936517340355,0.07589296322020544,human
GSE87750,MONDO_0018661,0.0362586210840118,3.7301677089172287,"infected,infection,neural,virus,zika,zikv",3.7301677089172287,3.566550312322598,0.16361739659463082,human
GSE87809,MONDO_0000931,0.0404502734007244,2.4236258132745063,"endometrial,endometriosis,endometriotic,endometrium,stromal,uterine",2.4236258132745063,2.037406590781881,0.3862192224926253,human
GSE87831,MONDO_0015459,0.0027941650505515,0.7064575170767098,npc,0.7064575170767098,0.7055881707787043,0.0008693462980055022,human
GSE87849,MONDO_0005109,0.0196171045233607,0.7436248891117575,"cells,hiv,hiv1,samhd1",0.7436248891117575,0.7435999589863721,2.4930125385402846e-05,human
GSE87891,MONDO_0004995,0.0816381126229168,0.7623560980153483,"artery,cardiovascular,coronary,disease,sequencing,cvd",0.7623560980153483,0.6254543752890434,0.13690172272630496,human
GSE88710,MONDO_0005020,0.1111629666922503,0.8213900929000306,"bacterial,biopsies,campylobacter,colon,mucosa,mucosal,patients,performed",0.8213900929000306,0.6684894147098798,0.15290067819015085,human
GSE88741,MONDO_0021143,0.8993415999519357,4.5458528178000535,"cell,lines,melanoma",4.5458528178000535,4.535297435666474,0.010555382133579094,human
GSE88750,MONDO_0002491,0.0038923714174242,0.0516259559502164,use,0.0516259559502164,0.0479910141044501,0.0036349418457663,human
GSE88802,MONDO_0021355,0.0102693343469029,1.2092537924113986,"adenocarcinoma,eac,esophageal",1.2092537924113986,1.1879460724891815,0.02130771992221714,human
GSE88848,MONDO_0021084,0.0276570591843698,2.531150703072075,"cells,pigment,retinal,rpe",2.531150703072075,2.449063508513741,0.08208719455833391,human
GSE88850,MONDO_0011996,0.0198278006742028,0.2789275797917913,"cell,function,rna",0.2789275797917913,0.0008938698145071,0.27803370997728416,human
GSE88858,MONDO_0011996,0.0170405424556683,0.0603741809383754,"rna,rnaseq",0.0603741809383754,0.0522710629812696,0.008103117957105797,human
GSE88931,MONDO_0019755,0.0236451818255329,0.0646684737182379,"differentiation,embryonic,human,stem",0.0646684737182379,0.0340515175796947,0.030616956138543205,human
GSE88943,MONDO_0005233,0.5039180009539513,4.273482747042186,"a549,cancer,cell,h1299,lines,lung",4.273482747042186,4.252429747977885,0.021052999064300693,human
GSE88944,MONDO_0024237,0.0401092921941895,0.7803233797770281,"human,induced,pluripotent,stem",0.7803233797770281,0.7278690664406261,0.05245431333640205,human
GSE88945,MONDO_0005814,0.3701252565009034,3.140310179337962,"cancer,cells,colonic,colorectal,expression",3.140310179337962,3.102942783139907,0.0373673961980554,human
GSE88946,MONDO_0017128,0.0039086299968447,0.1956355908207138,stromal,0.1956355908207138,0.1529272882573743,0.04270830256333949,human
GSE88956,MONDO_0001014,0.0364871315688453,1.554946164939608,"cells,cll,patients",1.554946164939608,1.5458355364009289,0.009110628538679055,human
GSE88977,MONDO_0011996,0.0190220603835372,0.2190764398500606,rnaseq,0.2190764398500606,0.0251567092565831,0.1939197305934775,human
GSE88997,MONDO_0002356,0.2578458188976358,3.3604848640580807,"adenocarcinoma,cancer,ductal,pancreas,pancreatic,progression",3.3604848640580807,3.2780774208126995,0.08240744324538118,human
