ID,child,parent,child_score,parent_score,delta,child_gt_parent
GSE61969,MONDO_0004643,MONDO_0020076,2.053203197168356,1.815837861559178,0.23736533560917827,True
GSE75576,MONDO_0004643,MONDO_0020076,1.9849368347664376,1.8123618243304285,0.1725750104360091,True
GSE55385,MONDO_0004643,MONDO_0020076,1.9806455557912688,2.203324165781359,-0.22267860999009037,False
GSE77967,MONDO_0004643,MONDO_0020076,1.9510970243274324,1.972258227508093,-0.021161203180660726,False
GSE72671,MONDO_0004643,MONDO_0020076,1.9441014071939984,1.9857989569233787,-0.041697549729380334,False
GSE108367,MONDO_0004643,MONDO_0020076,1.819325355795255,1.982023144317208,-0.16269778852195316,False
GSE58732,MONDO_0004643,MONDO_0020076,1.8128069770929065,1.654053237365509,0.15875373972739748,True
GSE74690,MONDO_0004643,MONDO_0020076,1.8093486369035507,1.787090563540898,0.02225807336265273,True
GSE69654,MONDO_0004643,MONDO_0020076,1.808288730107886,1.6833747868068285,0.12491394330105754,True
GSE84703,MONDO_0004643,MONDO_0020076,1.7229055367070196,1.6201688274526636,0.10273670925435607,True
GSE42990,MONDO_0004643,MONDO_0020076,1.7138817497567147,1.559311588974823,0.15457016078189167,True
GSE53599,MONDO_0004643,MONDO_0020076,1.682826813393952,1.700526670647733,-0.017699857253781204,False
GSE88841,MONDO_0004643,MONDO_0020076,1.6738849917591114,1.7466689769660595,-0.07278398520694807,False
GSE75615,MONDO_0004643,MONDO_0020076,1.626837574817708,1.72686302002784,-0.10002544521013212,False
GSE68391,MONDO_0004643,MONDO_0020076,1.559570829984422,1.3537480836378435,0.2058227463465785,True
GSE72857,MONDO_0004643,MONDO_0020076,1.4799397010660833,1.3947346606577238,0.08520504040835952,True
GSE67609,MONDO_0004643,MONDO_0020076,1.4467023229800935,1.048362415437024,0.3983399075430696,True
GSE81842,MONDO_0004643,MONDO_0020076,1.4438408682295036,1.2534604286152335,0.1903804396142701,True
GSE70243,MONDO_0004643,MONDO_0020076,1.4269407247444137,1.3590689908952227,0.06787173384919098,True
GSE83204,MONDO_0004643,MONDO_0020076,1.40571776606269,1.4289716306799152,-0.023253864617225117,False
GSE69786,MONDO_0004643,MONDO_0020076,1.4014299568175157,1.5371274195036606,-0.1356974626861449,False
