ID_human,ID_mouse,mondo_id_human,mondo_id_mouse,log2(prob/prior)_human,log2(prob/prior)_mouse,depth_human,depth_mouse,pair_type
GSE114885,GSE86261,MONDO_0009693,MONDO_0009831,5.283150066151651,4.069892002382243,2,2,branch
GSE117632,GSE77693,MONDO_0018177,MONDO_0004643,3.1906663505254387,1.2485349592072976,4,4,branch
GSE119587,GSE87623,MONDO_0006512,MONDO_0004643,1.070902585839211,2.997606909092132,4,4,branch
GSE119794,GSE39509,MONDO_0009831,MONDO_0005836,5.976370344497893,4.1349031730232895,2,2,branch
GSE122818,GSE41286,MONDO_0009831,MONDO_0004989,5.232641042735133,1.055383358525064,2,2,branch
GSE122953,GSE93313,MONDO_0004989,MONDO_0009831,1.2827758041390558,4.807728386526056,2,2,branch
GSE125506,GSE86301,MONDO_0009831,MONDO_0004989,4.906429804703225,3.942355102552644,2,2,branch
GSE125629,GSE74762,MONDO_0100342,MONDO_0005096,2.96457625972125,1.9436286254909567,2,2,branch
GSE125802,GSE77646,MONDO_0004989,MONDO_0005159,3.6319577067226847,3.7217404350842407,2,2,branch
GSE126007,GSE84448,MONDO_0006325,MONDO_0005233,3.2003293363415883,2.085328247943657,3,3,branch
GSE20116,GSE40171,MONDO_0005096,MONDO_0009831,3.995623941217028,3.4669804046272645,2,2,branch
GSE24283,GSE68472,MONDO_0008315,MONDO_0008170,3.5331717792270703,3.232237888754923,3,3,branch
GSE24455,GSE84447,MONDO_0006295,MONDO_0000376,2.5014124343729125,2.502870581270334,1,1,branch
GSE24491,GSE76992,MONDO_0004989,MONDO_0009831,1.867627881196344,1.7246120736900592,2,2,branch
GSE27823,GSE70046,MONDO_0008315,MONDO_0005061,1.7531614033932883,3.8686145352827466,3,3,branch
GSE29119,GSE63526,MONDO_0004989,MONDO_0009831,3.720085933416829,3.499742311168116,2,2,branch
GSE29580,GSE57043,MONDO_0005814,MONDO_0005138,3.573394878496084,1.601910341874819,2,2,branch
GSE31539,GSE101678,MONDO_0006513,MONDO_0021063,1.003025149384582,1.144102921016778,4,4,branch
GSE32726,GSE100276,MONDO_0005061,MONDO_0005575,4.098864503135324,3.5008860696372697,3,3,branch
GSE33776,GSE68220,MONDO_0004989,MONDO_0001187,4.266565740283406,2.417962469961965,2,2,branch
GSE34740,GSE101994,MONDO_0011996,MONDO_0005494,2.7014361644624185,1.240583036796228,5,5,branch
GSE34914,GSE95478,MONDO_0005233,MONDO_0005192,4.690373792532358,2.8139623635405613,3,3,branch
GSE35178,GSE58916,MONDO_0001187,MONDO_0009807,2.9568524843205988,1.15052248565767,2,2,branch
GSE35587,GSE81420,MONDO_0011996,MONDO_0018874,1.0006271025977005,4.672255011508943,5,5,branch
GSE36070,GSE58801,MONDO_0005575,MONDO_0010150,1.47103883961908,1.0162090860446864,3,3,branch
GSE36266,GSE92301,MONDO_0007254,MONDO_0005159,2.5749255456165234,5.507770747563734,2,2,branch
GSE36863,GSE70046,MONDO_0005590,MONDO_0005061,2.853135593274532,3.8686145352827466,3,3,branch
GSE36866,GSE79313,MONDO_0018874,MONDO_0011996,2.5223163463059004,1.2486287172777422,5,5,branch
GSE37764,GSE58801,MONDO_0005233,MONDO_0010150,3.815041421596285,1.0162090860446864,3,3,branch
GSE37918,GSE102345,MONDO_0004989,MONDO_0100342,4.000978906295796,4.116155063299962,2,2,branch
GSE38234,GSE87623,MONDO_0006512,MONDO_0004643,1.92409276275183,2.997606909092132,4,4,branch
GSE38790,GSE92301,MONDO_0004989,MONDO_0005159,3.172611542777846,5.507770747563734,2,2,branch
GSE38945,GSE71629,MONDO_0007256,MONDO_0005061,3.156507405294162,1.8148397617804053,3,3,branch
GSE40049,GSE108811,MONDO_0004989,MONDO_0009831,4.555750374488866,3.840439309773752,2,2,branch
GSE40050,GSE78696,MONDO_0008315,MONDO_0005575,4.508904320909577,4.103834393663368,3,3,branch
GSE40174,GSE72480,MONDO_0009831,MONDO_0004989,3.478867708929458,2.412380440757405,2,2,branch
