gse	pmid	subseries	superseries	affiliation	BioProject	SRA
GSE102943	29087313				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399518']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115953']
GSE103001	29234122				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399721']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116023']
GSE103016					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399758']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116042']
GSE103021	29373830				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399830']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116072']
GSE103029	28971956				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399844']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116078']
GSE103071					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA400078']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116136']
GSE103075	29173899	['GSE103078']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA400277']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116261']
GSE103114	29167459				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA400201']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116190']
GSE103122					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA400217']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116196']
GSE103147	29145483				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA400331']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116272']
GSE103152					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA400365']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116284']
GSE103175	29044119				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA400446']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116319']
GSE103242	29212856	['GSE103243']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA400606']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116398']
GSE103252	28967884				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA400626']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116552']
GSE103270	29244830				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA401673']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP131347']
GSE103299					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA401894']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP131319']
GSE103305	29069456				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA401850']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP127016']
GSE103307	30446636; 38891836				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA401849']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP131346']
GSE103405	29317475				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA401719']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116953']
GSE103449	28891793				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA401755']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP117044']
GSE103461	29378846				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA401740']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP117061']
GSE103501		['GSE80325']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA401766']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116937']
GSE103544	28930664				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA401805']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP117082']
GSE103547	28905451				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA401729']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116899']
GSE103559	29044188				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA401867']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116895']
GSE103567	29045832				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA401933']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116930']
GSE103630	28864476	['GSE75313']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA403816']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP117154']
GSE103650	28939678				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA403844']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP117175']
