gse_1,gse_2,jaccard,containment,overlap_count,shared_cuis,title_1,title_2,comparison
GSE97384,GSE102659,0.2167832167832167,0.3780487804878049,31,"['C0010176', 'C0031327', 'C0031715', 'C0040712', 'C0221284', 'C0441712', 'C0597295', 'C0851285', 'C1157519', 'C1157569', 'C1158209', 'C1158886', 'C1158897', 'C1159372', 'C1332838', 'C1412617', 'C1414346', 'C1420099', 'C1519613', 'C1519614', 'C1519616', 'C1521840', 'C1524059', 'C1540171', 'C1566322', 'C1621445', 'C1706376', 'C1706979', 'C2245744', 'C5419559', 'C5445058']",mTORC1 balances cellular amino acid supply with demand for protein synthesis through post-transcriptional control of ATF4,N6-Methyladenosine Guides mRNA Alternative Translation during Integrated Stress Response,human_mouse
GSE71012,GSE80010,0.2167487684729064,0.4036697247706422,44,"['C0008972', 'C0017260', 'C0017337', 'C0018017', 'C0025663', 'C0025664', 'C0027362', 'C0036669', 'C0040649', 'C0079429', 'C0162801', 'C0441833', 'C0441889', 'C0449851', 'C0456079', 'C0557651', 'C0597298', 'C0681836', 'C0687744', 'C0871511', 'C0936012', 'C0947630', 'C1136156', 'C1294197', 'C1332838', 'C1417679', 'C1519595', 'C1519941', 'C1522326', 'C1537811', 'C1546459', 'C1547707', 'C1552839', 'C1561491', 'C1705923', 'C2603343', 'C2930505', 'C2936624', 'C2979882', 'C4086963', 'C4723641', 'C4760607', 'C5551416', 'C5551417']",LIN28A modulates splicing and gene expression programs in breast cancer cells [RNA-Seq],Next Generation Sequencing Facilitates Quantitative Analysis of Wild Type APC and OX40L-TG APC induced T helper 17 cell Transcriptomes [RNA-seq],human_mouse
GSE60119,GSE92629,0.2166666666666666,0.3714285714285714,13,"['C0008972', 'C0018017', 'C0557651', 'C0947630', 'C1546459', 'C1705923', 'C2603343', 'C2930505', 'C2936621', 'C2936622', 'C2979882', 'C3178810', 'C4330825']",Next Generation Sequencing Facilitates Quantitative Analysis of Normal Human Kidney Transcriptomes,Next Generation Sequencing Facilitates Quantitative Analysis of Piscor (control) and Nap1l1-shRNA expressed neural stem cell Transcriptomes,human_mouse
GSE60119,GSE92720,0.2166666666666666,0.3714285714285714,13,"['C0008972', 'C0018017', 'C0557651', 'C0947630', 'C1546459', 'C1705923', 'C2603343', 'C2930505', 'C2936621', 'C2936622', 'C2979882', 'C3178810', 'C4330825']",Next Generation Sequencing Facilitates Quantitative Analysis of Normal Human Kidney Transcriptomes,Next Generation Sequencing Facilitates Quantitative Analysis of Control and H3.3 Knockdown neural stem cell Transcriptomes,human_mouse
GSE71862,GSE58363,0.2166666666666666,0.5,13,"['C0017262', 'C0185117', 'C0205615', 'C0443199', 'C1511726', 'C1546437', 'C1549478', 'C1705242', 'C3245479', 'C3714741', 'C4086963', 'C4554467', 'C4760607']",Differential Gene Expression between MCF10A and MCF7 cells,Differential expression analysis for RNA-seq data between cardiac progenitor and uncommitted cells at day 4.75,human_mouse
GSE72524,GSE58609,0.2166666666666666,0.3939393939393939,13,"['C0008972', 'C0392747', 'C0443172', 'C0557651', 'C0679846', 'C0947630', 'C1705923', 'C1883559', 'C2603343', 'C2700323', 'C3178810', 'C5205215', 'C5444688']",Effect of Hotair overexpression in human breast cancer cell lines,Tet1 and Tet2 mediate epigenetic regulation of developmental genes by protecting DNA methylation canyons against hypermethylation [RNA-Seq],human_mouse
GSE75215,GSE55376,0.2166666666666666,0.3823529411764705,13,"['C0009932', 'C0017262', 'C0185117', 'C0243148', 'C0308718', 'C0392747', 'C0443172', 'C0679846', 'C0728976', 'C1547100', 'C2911684', 'C3854321', 'C4699379']",RNA deep sequencing to compare genome-wide differences between PRMT5/knockdown and control AML cells,small RNAseq analysis of the global retinal transcriptome of rod photoreceptor-specific Dicer1 conditional knockout mice and control littermates,human_mouse
GSE75215,GSE55377,0.2166666666666666,0.3823529411764705,13,"['C0009932', 'C0017262', 'C0185117', 'C0243148', 'C0308718', 'C0392747', 'C0443172', 'C0679846', 'C0728976', 'C1547100', 'C2911684', 'C3854321', 'C4699379']",RNA deep sequencing to compare genome-wide differences between PRMT5/knockdown and control AML cells,RNAseq analysis of the global retinal transcriptome of rod photoreceptor-specific Dicer1 conditional knockout mice and control littermates,human_mouse
GSE79160,GSE61209,0.2166666666666666,0.5652173913043478,13,"['C0002778', 'C0009932', 'C0243148', 'C0308718', 'C0728976', 'C0872262', 'C0920317', 'C0936012', 'C1524024', 'C1547100', 'C3178810', 'C4086963', 'C4760607']",RNA-seq analysis of control and podoplanin knockdown lymphatic endothelial cells,RNA-seq profiling of transcriptomes of control and Hif1a mutant E12.5 hearts,human_mouse
GSE85840,GSE75816,0.2166666666666666,0.3611111111111111,13,"['C0004793', 'C0026661', 'C0035696', 'C0162326', 'C0162327', 'C0392747', 'C0443172', 'C0679846', 'C0887945', 'C0887955', 'C1519249', 'C3853789', 'C3898448']","Transcriptional changes induced by Brd4 inhibitor, AZD5153, in cancer cell lines",Medial prefrontal cortex transcriptome changes in germ-free mice,human_mouse
